backers_count,Blurb length,Blurb caps,Category,Category (parent only),country,campaign length (deadline - launched at,decision timing (state changed - launched at),fx_rate,goal,Name Length,Name Caps,spotlight,staff_pick,State,usd_pledged
2,55,8,"technology/sound""",technology,US,2588400,2588400,1,88500,18,8,FALSE,FALSE,0,6.0
42,132,7,"dance/workshops""",dance,GB,2592000,2592002,1.29135567,4500,32,4,FALSE,TRUE,0,3593.27997
18,133,8,"music/classical music""",music,CA,1555200,1555200,0.75574365,1100,50,8,TRUE,FALSE,1,1262.3619666
0,132,7,"photography/photobooks""",photography,DE,2091729,2091732,1.1753395,3499,50,4,FALSE,FALSE,0,0.0
4,132,9,"dance/residencies""",dance,US,2592000,2592000,1,2000,24,4,FALSE,FALSE,0,150.0
12,134,19,"dance/workshops""",dance,US,2595600,2595601,1,5000,29,4,FALSE,FALSE,0,802.69
0,111,4,"fashion/jewelry""",fashion,US,2595600,2595600,1,2500,59,8,FALSE,FALSE,0,0.0
5,81,4,"fashion/jewelry""",fashion,AU,2592000,55326,0.72636675,50000,43,6,FALSE,FALSE,0,1674.70922761
93,17,3,"fashion/jewelry""",fashion,US,2592000,2592004,1,40000,27,25,FALSE,TRUE,0,8665.0
118,120,4,"film & video/documentary""",film & video,US,2592000,2592002,1,10000,10,3,TRUE,FALSE,1,15459.0
94,135,6,"music/classical music""",music,US,2199211,2199211,1,7500,47,5,TRUE,FALSE,1,9262.0
227,133,2,"games/playing cards""",games,HK,2419200,2419200,0.1290281,62606,37,6,TRUE,FALSE,1,12051.233346360000
1697,125,8,"games/playing cards""",games,US,2592000,2592000,1,15000,25,4,TRUE,FALSE,1,151484.0
46,126,6,"music/classical music""",music,US,3888000,3888000,1,3300,55,5,TRUE,FALSE,1,3465.0
8,120,6,"publishing/art books""",publishing,GB,3024000,3024000,1.29135567,3500,24,6,FALSE,FALSE,0,252.64747552
182,116,8,"music/rock""",music,US,2592000,2592011,1,7750,56,9,TRUE,FALSE,1,8454.77
61,68,8,"fashion/jewelry""",fashion,US,2592000,2592000,1,750,31,4,TRUE,FALSE,1,2279.0
3,129,15,"food/small batch""",food,US,2592000,2592035,1,2500,19,2,FALSE,FALSE,0,55.0
55,134,3,"film & video/shorts""",film & video,US,2592000,2592002,1,5000,9,2,TRUE,FALSE,1,5006.0
287,99,2,"food/cookbooks""",food,US,2592000,2592001,1,5000,32,5,TRUE,FALSE,1,13668.0
44,134,3,"music/rock""",music,AU,2592000,2592000,0.72636675,5500,31,8,TRUE,FALSE,1,4957.22585005
381,73,1,"photography/photobooks""",photography,US,2592000,2592000,1,49500,20,15,TRUE,FALSE,1,68276.0
14,114,7,"film & video/documentary""",film & video,US,1728000,1728002,1,1000,52,8,TRUE,FALSE,1,1000.0
5,114,1,"technology/web""",technology,US,5180400,5180400,1,2000,9,0,FALSE,FALSE,0,23.0
21,130,1,"dance/workshops""",dance,GB,2592000,2592000,1.29135567,625,20,5,TRUE,FALSE,1,1731.58145455
60,132,20,"games/playing cards""",games,SE,2592000,2592000,0.1129236,4500,36,5,TRUE,FALSE,1,1145.724849
